Altura Maxima,#Amostras,#Execucao,MSE (Melhor), ErroPercentual, Altura (Melhor),Tempo Execucao
5,350,1,0.213027710604,0.731954542892,5,300.6916563510895
5,350,2,nan,nan,5,347.8426444530487
5,350,3,0.0360450383443,0.443369747559,5,317.70563650131226
5,350,4,0.0221924172123,0.49028289043,5,371.8613967895508
5,350,5,0.117094221376,1.5705306674,5,217.7835774421692
5,350,6,0.212831127345,1.63363177306e+13,5,424.8300037384033
5,350,7,0.0358986318966,8.14219316511e+12,5,398.3734335899353
5,350,8,0.286689876012,0.714485936581,5,315.08338832855225
5,350,9,0.0389876101354,4.49931243617e+12,5,354.59333395957947
5,350,10,0.0214307109763,1.00222621637e+13,5,413.467515707016
Altura Maxima,#Amostras,#Execucao,MSE (Melhor), ErroPercentual, Altura (Melhor),Tempo Execucao
5,350,1,0.294328482533,5.9955771714e+12,5,330.9100253582001
5,350,2,0.0366802885384,9.94653413007e+12,5,357.5750563144684
5,350,3,0.100721288893,4.07511148236e+12,5,195.55228781700134
5,350,4,0.0253438492007,0.564430362399,5,417.98046135902405
5,350,5,0.0340196401363,3.44720312749e+12,5,395.52181124687195
5,350,6,0.352768955996,1.3406135347,5,209.71762895584106
5,350,7,0.0147325245222,1.67481434283e+12,5,257.74349784851074
5,350,8,0.270632202889,1.1273395867,5,390.9189829826355
5,350,9,0.317723526949,1.74197942276,5,227.5197947025299
5,350,10,0.246546255426,1.13145800372,5,340.44035053253174
