Altura Maxima,#Amostras,#Execucao,MSE (Melhor), ErroPercentual, Altura (Melhor),Tempo Execucao
10,350,1,0.00936595989022,-0.149076646176,10,679.1471431255341
Altura Maxima,#Amostras,#Execucao,MSE (Melhor), ErroPercentual, Altura (Melhor),Tempo Execucao
10,350,1,0.0342114459166,-0.402350384198,10,606.0864310264587
10,350,2,0.0129815740133,-0.254073038241,10,767.612208366394
Altura Maxima,#Amostras,#Execucao,MSE (Melhor), ErroPercentual, Altura (Melhor),Tempo Execucao
10,350,1,0.0342728412911,0.277210178044,10,520.750935792923
10,350,2,0.00446071002197,-0.321528993605,10,768.9442193508148
10,350,3,0.0603310215746,1.34135643211,10,752.7781097888947
10,350,4,0.00032624279817,-0.0189858712635,10,975.010883808136
10,350,5,0.00544140425207,-0.033043348547,10,875.1395134925842
10,350,6,0.00521517547353,0.197019093099,10,663.3845608234406
10,350,7,0.000742101916467,0.00464525276108,10,837.1817502975464
10,350,8,0.00145759596865,0.0320543166573,10,812.6903049945831
10,350,9,0.0172585488265,-0.223844014115,10,804.5205509662628
10,350,10,0.0116504033791,-0.379308744956,10,719.0438737869263
Altura Maxima,#Amostras,#Execucao,MSE (Melhor), ErroPercentual, Altura (Melhor),Tempo Execucao
10,350,1,0.0232366210343,-0.111087988987,10,772.2744700908661
10,350,2,0.0563230761125,-0.283742259452,10,534.4778406620026
10,350,3,0.0189709424499,-0.223004532827,10,723.1470787525177
10,350,4,0.0465256774221,-1.12357870003,10,762.2297143936157
10,350,5,0.00226927018277,-0.066808325724,10,1036.7315881252289
10,350,6,0.01908085163,0.0896903165369,10,859.4011085033417
10,350,7,0.00574716850007,-0.0531410209528,10,771.8052735328674
10,350,8,0.0053692809589,-0.109894565968,10,580.0156357288361
10,350,9,0.0167937060943,-0.12910618134,10,809.0128507614136
