Altura Maxima,#Amostras,#Execucao,MSE (Melhor), ErroPercentual, Altura (Melhor),Tempo Execucao
10,350,1,nan,nan,10,608.5183999538422
10,350,2,0.231029003369,8.00014136021e+12,10,362.9266653060913
10,350,3,nan,nan,10,644.2215287685394
10,350,4,0.271023895143,1.48566062806e+12,10,327.9597454071045
10,350,5,nan,nan,10,430.66665983200073
10,350,6,nan,nan,10,625.862889289856
10,350,7,0.0190429839572,0.244911228525,10,550.2262825965881
10,350,8,0.00461875028132,0.160428080068,10,660.997526884079
10,350,9,0.0162777239678,453071033135.0,10,898.2653772830963
10,350,10,0.0159884338036,1.08311087246e+12,10,878.7395505905151
Altura Maxima,#Amostras,#Execucao,MSE (Melhor), ErroPercentual, Altura (Melhor),Tempo Execucao
10,350,1,nan,nan,10,569.8382079601288
10,350,2,0.00507338354478,0.279549854712,10,480.88867926597595
10,350,3,0.0197144252854,0.353772174441,10,642.1535024642944
10,350,4,0.0670500888475,8.24098237212e+12,10,311.70781564712524
10,350,5,0.0485862219291,0.541778740697,10,414.8127658367157
10,350,6,0.0133194685222,2.11471507191e+12,10,883.4052121639252
10,350,7,0.0566707713671,1.01404555925,10,321.74029088020325
10,350,8,0.0105916050544,0.358751506824,10,822.6501672267914
10,350,9,0.00808467800044,3.84794322222e+12,10,548.5402939319611
10,350,10,0.00155914267464,207479984836.0,10,635.9653785228729
