x,y,"f(x,y)","f*(x,y)"
-4.4,-2.6,1.97592469849,1.97668
-3.8,-1.8,1.90825235853,1.89083
3.8,-4.8,1.99334678113,2.03694
4.2,0.8,1.28737551246,1.32746
-4.0,-3.2,1.98666229711,2.01107
2.8,-4.4,1.98133026599,1.96812
3.0,0.2,0.989402322233,0.991931
-2.4,1.0,1.47074107469,1.4728
3.2,0.0,0.990553347696,1.12467
-2.6,4.6,1.97635718588,1.92825
0.4,2.6,1.00354662006,0.982383
-3.6,4.8,1.99220123603,2.02605
0.6,-4.2,1.11152750687,1.14949
-0.4,2.0,0.966137470479,1.03115
-1.6,-2.0,1.80878927133,1.81394
4.0,-3.8,1.99133598933,2.00994
-4.8,-3.0,1.98592461926,2.02313
1.0,3.4,1.49257243445,1.1224
-2.8,-2.2,1.94305053865,1.88789
1.2,3.8,1.66987569531,1.23593
-3.4,-3.6,1.98665392927,2.02113
2.4,0.4,0.99570207458,0.991259
-3.0,-0.6,1.10253577238,1.10809
-1.4,1.4,1.58691339472,1.59605
-1.2,-0.4,0.699609655289,0.702295
1.8,-1.4,1.70648201597,1.53038
-1.0,1.6,1.36761280075,1.34649
4.8,3.2,1.98867308891,1.9888
3.4,-1.6,1.8601852352,1.87201
-4.6,-2.4,1.9685126404,1.96756
4.6,0.6,1.11250246004,1.26048
0.8,-5.0,1.28898145583,1.29597
2.2,2.8,1.94305053865,1.77807
0.0,4.2,0.996796612543,1.00274
-5.0,1.2,1.67305121131,1.68571
-0.6,3.0,1.10253577238,1.11096
-4.2,-0.2,0.998394056728,1.01139
2.6,-1.0,1.47858562017,1.59651
3.6,-4.0,1.99019044423,1.9914
-2.2,2.2,1.91811870195,1.88229
1.4,-0.8,1.08403559728,1.12215
-0.2,4.0,0.997706393601,1.00153
-0.8,2.4,1.2613199746,1.25603
4.4,3.6,1.99142057313,1.99321
1.6,-4.6,1.86538436646,1.85833
-3.2,4.4,1.98789242601,1.98523
2.0,-1.2,1.61582512599,1.5976
-1.8,1.8,1.82605063722,1.82138
-2.0,-2.8,1.92516765827,1.88847
0.2,-3.4,0.994169878639,0.992514
