Altura Maxima,#Amostras,#Execucao,MSE (Melhor), ErroPercentual, Altura (Melhor),Tempo Execucao
10,140,1,1.76324760812e-06,0.000611249334328,10,241.41134977340698
10,140,2,1.51803639496e-05,0.00266959442197,10,211.96699452400208
10,140,3,1.20858791504e-05,0.00458556055302,10,216.82683038711548
10,140,4,5.98346267279e-05,0.0115497519341,10,237.83831977844238
10,140,5,nan,nan,10,253.51919841766357
10,140,6,2.01458099037e-05,0.00257921652483,10,259.29435205459595
10,140,7,1.7135221643e-06,0.000986896063415,10,212.54787731170654
10,140,8,1.11808388871e-05,0.00179670835497,10,188.23305010795593
10,140,9,7.75112766321e-06,0.00142429291963,10,241.6578974723816
10,140,10,2.93628715959e-05,0.00544743594576,10,263.92435789108276
Altura Maxima,#Amostras,#Execucao,MSE (Melhor), ErroPercentual, Altura (Melhor),Tempo Execucao
10,140,1,0.000285022210953,0.0336265888997,10,283.7939558029175
10,140,2,0.0011522645603,0.112627314369,10,271.3341760635376
10,140,3,7.26703011166e-06,0.00145804852052,10,266.731520652771
10,140,4,8.7480010353e-07,0.000678197814632,10,439.113000869751
10,140,5,8.85384135821e-06,0.00138851526873,10,221.96681928634644
10,140,6,4.89621449478e-06,0.00108075397785,10,204.69959688186646
10,140,7,7.6495548312e-07,0.000585235681468,10,233.34484338760376
10,140,8,3.03914181293e-05,0.00755014114022,10,328.44933795928955
10,140,9,4.90569884726e-05,0.0456800144197,10,290.529305934906
10,140,10,1.47805000941e-05,0.00154443240231,10,208.18578839302063
