x0,x1,x2,x3,x4,"f(x,y)","f*(x,y)"
5000.0,3.0,0.3048,71.3,0.00425727,118.134,117.93931477032058
400.0,22.2,0.0254,71.3,0.0214178,117.927,123.21301282975908
6300.0,0.0,0.2286,31.7,0.0027238,116.815,112.59134728573603
500.0,2.7,0.1524,39.6,0.00294804,121.009,124.77821968378936
630.0,0.0,0.1016,39.6,0.00146332,125.401,127.51973633740903
800.0,9.5,0.0254,55.5,0.0043284,128.082,125.90087949977772
2000.0,19.7,0.0508,71.3,0.0341183,120.055,125.55806503829456
500.0,0.0,0.3048,39.6,0.00310138,126.959,120.83527799189454
12500.0,0.0,0.1524,71.3,0.0015988,117.087,121.17715755386948
315.0,15.6,0.1016,71.3,0.0437259,133.808,122.31655558432197
1000.0,22.2,0.0254,71.3,0.0214178,134.247,126.0511748280889
800.0,8.9,0.1016,71.3,0.0103088,137.813,129.16949034454706
6300.0,5.4,0.1524,55.5,0.00433288,117.287,118.55642358647918
630.0,0.0,0.1016,31.7,0.00150092,126.413,126.62021743972812
12500.0,0.0,0.0254,55.5,0.00041229,131.453,126.0089055514151
1600.0,4.8,0.0254,31.7,0.000930789,128.718,125.40906304871433
4000.0,2.7,0.1524,71.3,0.00243851,126.534,126.29724804776241
8000.0,0.0,0.3048,39.6,0.00310138,114.779,107.02319600241981
315.0,22.2,0.0254,39.6,0.0229028,120.716,125.89290189880461
2500.0,9.9,0.1524,71.3,0.0193001,119.639,121.69651826694377
1000.0,4.0,0.2286,39.6,0.00473801,129.969,120.81304779813496
6300.0,0.0,0.1524,55.5,0.00172668,123.303,122.31744269116328
1250.0,15.4,0.0508,39.6,0.0282593,126.743,125.28933533522121
630.0,6.7,0.1016,71.3,0.00478288,131.448,128.56101593841913
200.0,9.9,0.1524,31.7,0.0252785,127.299,118.60335707120764
200.0,0.0,0.3048,39.6,0.00310138,118.129,124.28487294513215
4000.0,0.0,0.0254,39.6,0.000428464,135.346,127.3721942609954
500.0,15.4,0.0508,55.5,0.0271925,127.22,124.67026135454154
4000.0,15.4,0.0508,71.3,0.0264269,122.675,123.04148402352983
1600.0,5.4,0.1524,31.7,0.00525474,123.761,120.86141690933425
3150.0,17.4,0.0254,71.3,0.016104,126.536,128.68738432038037
2000.0,9.9,0.1524,31.7,0.0252785,116.859,116.87917991962661
400.0,1.5,0.3048,39.6,0.00392107,124.001,119.7059932573896
400.0,0.0,0.3048,39.6,0.00310138,124.809,122.27632686511623
1600.0,12.6,0.1524,39.6,0.0584113,110.78,112.47996642275504
2500.0,0.0,0.1524,55.5,0.00172668,127.763,126.69629974436153
1600.0,12.3,0.1016,55.5,0.0368233,121.824,124.47635032250835
1600.0,17.4,0.0254,39.6,0.0172206,127.614,122.94170444740894
3150.0,7.3,0.2286,55.5,0.0111706,117.134,122.32640016560474
400.0,9.9,0.1524,55.5,0.0208438,131.605,121.39004919876614
1600.0,3.3,0.1016,31.7,0.00251435,133.402,126.236722770519
800.0,0.0,0.1524,31.7,0.00209405,129.117,127.0792225965664
800.0,11.2,0.0508,71.3,0.014072,136.031,126.26391339732608
4000.0,1.5,0.3048,39.6,0.00392107,117.741,109.20042287846857
800.0,12.3,0.1016,55.5,0.0368233,125.114,125.65696112862433
1250.0,2.0,0.2286,55.5,0.00313525,128.762,122.28903212200292
4000.0,12.3,0.1016,39.6,0.0408268,110.905,115.411377959025
8000.0,3.3,0.1016,31.7,0.00251435,117.432,123.36967961072403
6300.0,0.0,0.3048,31.7,0.00331266,113.775,103.20035940681858
8000.0,0.0,0.0508,39.6,0.000791822,128.518,127.49374007964408
630.0,9.5,0.0254,31.7,0.00461377,129.006,127.51687854905045
8000.0,4.8,0.0254,71.3,0.000848633,131.518,129.29610369860987
2000.0,3.3,0.1016,55.5,0.002211,133.649,125.41921945712022
315.0,19.7,0.0508,71.3,0.0341183,121.235,125.17882986870553
800.0,9.5,0.0254,39.6,0.00449821,129.014,127.55176104274545
8000.0,0.0,0.0254,39.6,0.000428464,135.866,127.60240527495813
6300.0,0.0,0.1016,71.3,0.00121072,129.395,129.54616352321017
1000.0,17.4,0.0254,55.5,0.0165706,126.001,125.83738663993334
1600.0,7.2,0.1524,71.3,0.00752039,130.893,123.58871969955516
1000.0,2.0,0.2286,31.7,0.00372371,130.307,122.20202718916273
5000.0,12.6,0.1524,71.3,0.0483159,108.034,115.40038093430043
1250.0,17.4,0.0254,31.7,0.0176631,128.306,124.25398506320788
2000.0,12.6,0.1524,71.3,0.0483159,117.504,118.05577963937716
10000.0,0.0,0.1016,71.3,0.00121072,123.305,127.7988263355419
2000.0,0.0,0.0254,31.7,0.000439472,130.697,126.18638724639045
630.0,2.7,0.1524,39.6,0.00294804,125.809,126.2901801359078
5000.0,8.4,0.0508,55.5,0.00544854,115.812,126.13192232518252
1600.0,2.7,0.1524,71.3,0.00243851,130.644,127.3578065517062
