x0,x1,x2,x3,x4,"f(x,y)","f*(x,y)"
315.0,4.0,0.3048,71.3,0.00497773,128.175,128.36361710151527
2000.0,0.0,0.1524,55.5,0.00172668,129.673,126.81180782101191
1250.0,8.4,0.0508,55.5,0.00544854,132.252,127.76950059208073
2000.0,0.0,0.0508,55.5,0.00076193,131.456,128.63767127140687
1250.0,5.3,0.2286,39.6,0.00614329,125.721,123.95060321899757
8000.0,0.0,0.3048,55.5,0.00283081,116.476,115.25203522564064
630.0,17.4,0.0254,31.7,0.0176631,136.886,126.58425103258354
2500.0,4.2,0.0508,39.6,0.00152689,133.847,124.89029141889462
200.0,8.9,0.1016,71.3,0.0103088,133.503,127.16959812953971
1250.0,9.5,0.0254,31.7,0.00461377,131.446,127.27180376845753
2000.0,0.0,0.0254,31.7,0.000439472,130.697,131.19005779379006
3150.0,0.0,0.3048,71.3,0.00266337,125.201,122.32670332236057
500.0,15.4,0.0508,55.5,0.0271925,127.22,126.41735926578389
3150.0,3.3,0.1016,71.3,0.00202822,132.114,127.33518289652221
500.0,4.0,0.2286,31.7,0.00509068,128.939,125.12334292378833
630.0,1.5,0.3048,39.6,0.00392107,128.311,126.45938158042942
1000.0,0.0,0.1016,31.7,0.00150092,131.313,127.21136828143152
1000.0,12.3,0.1016,71.3,0.0337792,127.928,124.94539674187467
5000.0,4.2,0.0508,71.3,0.00142788,132.828,127.74975789374537
250.0,5.3,0.2286,39.6,0.00614329,127.011,126.40359029372968
4000.0,4.0,0.3048,39.6,0.00579636,115.863,117.51644461049968
6300.0,2.0,0.2286,39.6,0.00346574,116.417,118.59865376750226
200.0,12.6,0.1524,39.6,0.0584113,114.75,122.00711739905621
2500.0,3.0,0.3048,39.6,0.00495741,120.162,120.88647917272404
3150.0,0.0,0.0254,39.6,0.000428464,133.276,130.5934728882445
4000.0,5.4,0.1524,39.6,0.00485029,117.137,122.70046611981786
1250.0,9.9,0.1524,39.6,0.0233328,120.555,120.78356327472063
1250.0,0.0,0.3048,71.3,0.00266337,125.951,124.48207101879683
400.0,12.3,0.1016,39.6,0.0408268,128.265,122.67900821716815
315.0,0.0,0.3048,31.7,0.00331266,122.765,125.17272277984313
3150.0,9.9,0.1524,55.5,0.0208438,115.085,118.35851473277191
2000.0,11.2,0.0508,71.3,0.014072,133.311,127.22205706795117
500.0,12.3,0.1016,39.6,0.0408268,122.205,122.38844992529093
5000.0,7.3,0.2286,39.6,0.0123481,111.959,111.6679303554522
1250.0,4.0,0.2286,39.6,0.00473801,128.339,124.9253491858014
200.0,12.6,0.1524,71.3,0.0483159,128.354,128.85379008568242
2500.0,5.3,0.2286,71.3,0.0051942,123.74,125.10693398321087
10000.0,4.0,0.2286,71.3,0.00400603,113.108,116.86036006635624
1250.0,2.0,0.2286,55.5,0.00313525,128.762,126.93497616779197
800.0,4.0,0.2286,31.7,0.00509068,130.869,124.66917925299195
500.0,0.0,0.3048,31.7,0.00331266,127.315,124.90555366487229
500.0,4.8,0.0254,31.7,0.000930789,116.128,127.51061996323614
250.0,17.4,0.0254,55.5,0.0165706,110.491,124.65196545777182
2500.0,3.3,0.1016,55.5,0.002211,132.889,127.37523645511288
2500.0,0.0,0.2286,31.7,0.0027238,123.445,123.55797769465552
3150.0,7.2,0.1524,39.6,0.00909175,111.818,119.89338194978103
1000.0,22.2,0.0254,71.3,0.0214178,134.247,126.52587066678291
6300.0,9.5,0.0254,71.3,0.00420654,127.246,128.1502982045116
1000.0,15.6,0.1016,39.6,0.0528487,119.224,117.67572556448657
1000.0,8.4,0.0508,39.6,0.00566229,130.195,124.91496118390006
400.0,7.3,0.2286,39.6,0.0123481,132.039,126.15269912253655
4000.0,0.0,0.0508,39.6,0.000791822,135.308,128.49669331196395
500.0,8.4,0.0508,55.5,0.00544854,123.742,127.71745656578898
2000.0,17.4,0.0254,39.6,0.0172206,126.644,124.55344469090133
800.0,17.4,0.0254,39.6,0.0172206,135.324,124.42500434346863
200.0,0.0,0.3048,39.6,0.00310138,118.129,127.36665123726308
400.0,8.4,0.0508,39.6,0.00566229,120.015,124.90777573524365
1600.0,0.0,0.3048,71.3,0.00266337,127.591,123.95218080371149
2000.0,6.7,0.1016,55.5,0.0052139,129.653,127.06278765746421
8000.0,0.0,0.1524,31.7,0.00209405,117.957,123.22996351524043
4000.0,7.3,0.2286,31.7,0.0132672,112.639,111.27087072473437
200.0,7.3,0.2286,39.6,0.0123481,130.989,126.69146749029197
5000.0,5.4,0.1524,55.5,0.00433288,118.757,124.61847379611632
1600.0,19.7,0.0508,71.3,0.0341183,120.575,126.05344717704591
6300.0,0.0,0.2286,55.5,0.00229336,118.41,122.37719423911497
1000.0,0.0,0.3048,71.3,0.00266337,125.201,124.7844306598904
5000.0,12.3,0.1016,71.3,0.0337792,116.108,113.90039832904549
10000.0,4.8,0.0254,71.3,0.000848633,127.398,128.36296978987326
4000.0,19.7,0.0508,71.3,0.0341183,113.045,121.6889671412024
5000.0,3.3,0.1016,31.7,0.00251435,122.082,124.23133333432025
4000.0,7.3,0.2286,55.5,0.0111706,117.284,116.67052282027552
2500.0,7.3,0.2286,39.6,0.0123481,116.559,118.68903234358422
800.0,12.3,0.1016,55.5,0.0368233,125.114,124.52577638498585
500.0,12.6,0.1524,71.3,0.0483159,121.664,127.8042265735831
5000.0,8.4,0.0508,71.3,0.00529514,121.146,127.15238133326648
1250.0,0.0,0.1016,31.7,0.00150092,133.063,127.15956379068912
3150.0,4.8,0.0254,71.3,0.000848633,133.378,128.46613507344438
1600.0,12.7,0.0254,39.6,0.0130253,129.977,125.01546512763821
2500.0,0.0,0.2286,71.3,0.00214345,128.354,125.4524402744652
2000.0,12.3,0.1016,39.6,0.0408268,114.085,117.71585848787744
16000.0,0.0,0.0254,55.5,0.00041229,125.683,129.9558129102164
8000.0,0.0,0.1016,71.3,0.00121072,125.465,127.56774313543053
500.0,7.2,0.1524,71.3,0.00752039,132.043,127.93672010637803
1000.0,4.0,0.2286,71.3,0.00400603,131.708,127.40691091630924
8000.0,15.4,0.0508,71.3,0.0264269,112.675,118.86106059280664
500.0,5.3,0.2286,39.6,0.00614329,132.251,126.06207217113581
315.0,2.0,0.2286,39.6,0.00346574,120.137,126.2630379112446
6300.0,0.0,0.1524,31.7,0.00209405,119.737,122.2282240647595
6300.0,4.2,0.0508,71.3,0.00142788,129.308,127.67865604088163
12500.0,0.0,0.3048,55.5,0.00283081,111.076,110.41434820185393
3150.0,1.5,0.3048,71.3,0.00336729,123.392,124.07572184379612
400.0,12.7,0.0254,39.6,0.0130253,125.527,124.48603677747681
2500.0,1.5,0.3048,39.6,0.00392107,120.981,121.49432445889856
3150.0,15.6,0.1016,71.3,0.0437259,116.468,117.40441089905337
2500.0,4.0,0.3048,71.3,0.00497773,123.775,122.44691630447494
6300.0,0.0,0.3048,39.6,0.00310138,116.229,117.93345930388196
315.0,7.2,0.1524,39.6,0.00909175,130.558,125.57620624992181
400.0,9.5,0.0254,55.5,0.0043284,120.952,128.05357201623647
630.0,7.3,0.2286,55.5,0.0111706,130.934,126.8861101308848
1600.0,4.0,0.2286,71.3,0.00400603,129.468,126.49482115099394
2500.0,8.4,0.0508,39.6,0.00566229,127.465,124.65418560104507
1600.0,17.4,0.0254,39.6,0.0172206,127.614,124.57749671758607
630.0,7.3,0.2286,71.3,0.0104404,133.768,127.87649295081678
1250.0,9.9,0.1524,71.3,0.0193001,122.679,126.44312148582932
5000.0,0.0,0.3048,39.6,0.00310138,117.789,119.28981891970467
3150.0,7.3,0.2286,71.3,0.0104404,120.458,120.30016989774754
315.0,15.4,0.0508,31.7,0.0289853,122.845,125.21857536374512
315.0,12.7,0.0254,39.6,0.0130253,123.537,124.23410946589047
2000.0,2.0,0.2286,55.5,0.00313525,124.612,126.01793594979902
200.0,9.5,0.0254,39.6,0.00449821,116.074,125.1269273996922
400.0,6.7,0.1016,39.6,0.00578076,128.295,125.08618668492142
5000.0,3.0,0.3048,31.7,0.00529514,113.858,113.50764196099885
315.0,5.4,0.1524,39.6,0.00485029,125.347,125.54097590778083
1000.0,5.4,0.1524,55.5,0.00433288,132.127,127.36436298294191
5000.0,4.0,0.2286,39.6,0.00473801,117.649,118.61986721765085
400.0,0.0,0.3048,31.7,0.00331266,125.045,125.05172371570382
1250.0,6.7,0.1016,31.7,0.00592927,129.256,125.15525725416293
1000.0,17.4,0.0254,71.3,0.016104,125.816,127.0253876097992
2000.0,4.0,0.2286,71.3,0.00400603,126.218,125.24509967900354
1600.0,2.7,0.1524,71.3,0.00243851,130.644,127.3862457635133
5000.0,4.8,0.0254,31.7,0.000930789,135.248,127.3668379155587
1600.0,6.7,0.1016,71.3,0.00478288,136.678,127.45944201156578
800.0,4.0,0.2286,39.6,0.00473801,130.469,125.69838616292047
800.0,7.3,0.2286,71.3,0.0104404,130.748,126.5294751485792
800.0,15.4,0.0508,39.6,0.0282593,128.423,123.00490761540762
315.0,0.0,0.3048,39.6,0.00310138,122.779,127.23795765293345
1250.0,7.2,0.1524,71.3,0.00752039,132.513,127.13315638025384
1600.0,15.4,0.0508,71.3,0.0264269,130.065,126.66329932031593
2000.0,15.4,0.0508,71.3,0.0264269,129.285,125.83722685659853
6300.0,9.5,0.0254,55.5,0.0043284,124.222,128.22856031376395
3150.0,3.3,0.1016,39.6,0.00245138,128.401,124.44789127791104
500.0,12.7,0.0254,71.3,0.0121808,126.898,126.26983126576405
2500.0,11.2,0.0508,71.3,0.014072,130.541,126.93226699103425
1250.0,0.0,0.1524,55.5,0.00172668,129.953,127.01237585016428
1600.0,0.0,0.0254,31.7,0.000439472,129.267,131.20173301823974
1600.0,12.3,0.1016,31.7,0.0418756,114.477,119.00810985029875
2500.0,19.7,0.0508,71.3,0.0341183,118.385,123.35157171098152
800.0,7.3,0.2286,39.6,0.0123481,126.299,123.76617616696252
315.0,6.7,0.1016,31.7,0.00592927,126.266,125.60814530911355
1600.0,6.7,0.1016,39.6,0.00578076,127.375,124.56964112057281
1250.0,8.4,0.0508,31.7,0.00580776,130.156,125.97289723810078
1250.0,3.0,0.3048,55.5,0.00452492,127.329,125.12728802779515
8000.0,4.0,0.3048,71.3,0.00497773,113.665,112.97314463272781
1250.0,17.4,0.0254,55.5,0.0165706,129.301,127.57429183857194
800.0,6.7,0.1016,31.7,0.00592927,132.886,125.39863459491065
1000.0,9.9,0.1524,31.7,0.0252785,122.149,121.33155955524062
5000.0,9.5,0.0254,31.7,0.00461377,124.426,126.96972651220317
200.0,9.9,0.1524,39.6,0.0233328,127.315,125.37528332668944
500.0,17.4,0.0254,31.7,0.0176631,127.676,126.4790703980751
3150.0,5.3,0.2286,39.6,0.00614329,118.441,119.8495878722924
2500.0,0.0,0.1016,55.5,0.00131983,133.04,127.53036794912131
400.0,7.3,0.2286,71.3,0.0104404,139.438,128.66307763618644
3150.0,12.3,0.1016,55.5,0.0368233,116.914,117.7624589895978
2500.0,12.6,0.1524,39.6,0.0584113,106.88,111.02685574113065
4000.0,9.5,0.0254,39.6,0.00449821,127.864,125.50814542305683
315.0,8.9,0.1016,39.6,0.0124596,135.38,124.95744233672889
200.0,9.5,0.0254,31.7,0.00461377,119.146,126.99120686464477
5000.0,2.0,0.2286,55.5,0.00313525,120.472,122.36019905310823
3150.0,7.3,0.2286,31.7,0.0132672,113.229,114.17216111597062
630.0,4.0,0.2286,55.5,0.0042862,129.964,127.47058199093141
800.0,8.9,0.1016,39.6,0.0124596,130.94,124.68550912089447
1250.0,0.0,0.0254,31.7,0.000439472,127.947,131.2113809378082
5000.0,8.4,0.0508,55.5,0.00544854,115.812,126.99590918582518
500.0,8.9,0.1016,39.6,0.0124596,133.79,124.90365272207691
1250.0,0.0,0.2286,71.3,0.00214345,128.144,126.28068086183691
4000.0,15.6,0.1016,39.6,0.0528487,106.604,110.48255986766466
16000.0,4.8,0.0254,71.3,0.000848633,124.208,128.25950070876803
1000.0,3.0,0.3048,31.7,0.00529514,126.838,122.96888957500673
500.0,7.3,0.2286,39.6,0.0123481,130.299,125.70195107407653
5000.0,0.0,0.0508,71.3,0.000740478,134.43,129.2318696783447
10000.0,0.0,0.3048,55.5,0.00283081,113.076,113.14746656644903
20000.0,4.8,0.0254,71.3,0.000848633,119.708,128.18906585807244
3150.0,4.8,0.0254,39.6,0.000907475,133.436,125.69482799524705
400.0,9.9,0.1524,71.3,0.0193001,135.079,128.43399595135128
315.0,12.6,0.1524,71.3,0.0483159,128.484,129.38726803518492
2500.0,8.9,0.1016,39.6,0.0124596,119.19,121.57844574263508
3150.0,2.7,0.1524,71.3,0.00243851,127.054,126.75652908601452
4000.0,8.4,0.0508,55.5,0.00544854,122.612,127.28391374063602
10000.0,0.0,0.3048,71.3,0.00266337,115.391,114.27325882625539
1000.0,12.7,0.0254,71.3,0.0121808,131.698,127.38528793916345
